,venue.name,venue.id,venue.categories,venue.location.lat,venue.location.lng,
50,Tiffany & Co.,54e35755498edc3a98a0406c,Jewelry Store,42.352814,-71.071480,
51,Caffè Nero,53734d5e498ef0e9f93925f3,Coffee Shop,42.353521,-71.062348,
52,Mooncusser Fish House,59867be32a7ab676698036b8,Seafood Restaurant,42.349889,-71.070633,
53,Jaho Coffee Roaster & Wine Bar,55e0c3d7498ec10bc1501534,Coffee Shop,42.351720,-71.062820,
54,Davio's,49e1f0c4f964a520e9611fe3,Steakhouse,42.350310,-71.070080,
55,Elliot Norton Park,4e1206baa809291902bbe3c6,Park,42.349124,-71.065949,
56,Q Restaurant,4c91546ab641236ab6a68079,Hotpot Restaurant,42.351707,-71.062715,
57,Grill 23 & Bar,3fd66200f964a520eaeb1ee3,Steakhouse,42.349507,-71.072159,
58,Moxy Boston Downtown,5d99ec23963a9c0008205335,Hotel,42.350861,-71.064680,
59,Brooks Brothers,4af5c172f964a52064fc21e3,Clothing Store,42.351888,-71.073105,
60,The Tam,46207467f964a52084451fe3,Dive Bar,42.351467,-71.064683,
61,Boston Park Plaza,4a223506f964a520697d1fe3,Hotel,42.350748,-71.069919,
62,The Upper Crust Pizzeria,4a4916f5f964a520f5aa1fe3,Pizza Place,42.356652,-71.069723,
63,Chanel Boutique,4bb2c3fd715eef3b9db585bb,Boutique,42.352320,-71.071604,
64,Boston Common Visitor Center,4bd59d6b6f649521e3506fec,Tourist Information Center,42.355383,-71.063760,
65,Restoration Hardware,512e3726e4b0a23421a2709a,Furniture / Home Store,42.351535,-71.073554,
66,Pho Pasteur,4a91e4f7f964a520421c20e3,Noodle House,42.351513,-71.062811,
67,Cheers,41478600f964a520bd1c1fe3,Bar,42.355877,-71.071271,
68,Parkman Bandstand,4c06b9240e0a2d7f5349ec0c,Park,42.354439,-71.065450,
69,Royale,4b9988d4f964a520558135e3,Nightclub,42.350032,-71.065785,
70,Boston Kitchen Pizza,4aee268ff964a52086d221e3,Pizza Place,42.350902,-71.063024,
71,Tadpole Playground,4bd0a43acaff9521813ecff0,Playground,42.356127,-71.064724,
72,FiRE + iCE Boston,40b28c80f964a5200bf81ee3,American Restaurant,42.350578,-71.072644,
73,by CHLOE.,5b60cae5b9ac38002cd42c3c,Vegetarian / Vegan Restaurant,42.351651,-71.072351,
74,Sal's Pizza,4c2a2790ce3fc928e9da6f88,Pizza Place,42.354890,-71.063517,
75,Mei Sum Bakery,4ab90e73f964a520dd7d20e3,Bakery,42.351472,-71.062115,
76,Boston Common Carousel,4bd35b80046076b00fe47571,Playground,42.355949,-71.066686,
77,Dumpling Cafe,4c7c06403badb1f7ea9f5654,Chinese Restaurant,42.351260,-71.062994,
78,Legal Crossing,531e28ea11d2cfce53f540f9,Seafood Restaurant,42.353593,-71.062271,
79,Starbucks,49bd4ba4f964a52064541fe3,Coffee Shop,42.356273,-71.069459,
80,Starbucks,4a3be064f964a520dba01fe3,Coffee Shop,42.351426,-71.072976,
81,Paramount Center,4b619eb5f964a5205b1a2ae3,Performing Arts Venue,42.353621,-71.062405,
82,J.P.Morgan Chase Corporate Challenge,4de7ece61f6ed9a35efc7fca,Other Great Outdoors,42.354801,-71.067910,
83,Blu,4a9025aaf964a520391620e3,Restaurant,42.353267,-71.062918,
84,Bin 26 Enoteca,453cb78ef964a520163c1fe3,Italian Restaurant,42.356747,-71.069792,
85,Somerset Club,4bdb65f963c5c9b6dfc92768,Speakeasy,42.356811,-71.066608,
86,Beacon Hill Hotel,4b303efef964a5203ff824e3,Hotel,42.356740,-71.069731,
87,Sip Wine Bar & Kitchen,4fcfd6c2e4b014bc8f359648,Restaurant,42.353329,-71.062556,
88,Dunkin',5d0393c8c0cacb002c9daec9,Donut Shop,42.355184,-71.063144,
89,Hampshire House,4abae13bf964a5203e8320e3,American Restaurant,42.355758,-71.071283,
90,Paramount Cafe,4ba78332f964a520709939e3,Café,42.353765,-71.061955,
91,Charles Street Gate,4e8261984fc6c850efb41ac7,Historic Site,42.356154,-71.069453,
